Bet ID		Bet		Hand	Pool	Pot	Bluff	Agro	Payout (exc)	Outcome
1		0		6h, 8d	2d, 5d, Qd	20	0.0	0.0	0.0	0
2		20		6h, 8d	2d, 5d, Qd, Qs	40	0.0	0.0	0.5	0
18		0		9h, 2h	7s, 8s, 2s, As	140	0.0	0.0	0.0	0
4		0		5s, 9s	Jh, Qh, Kd	60	0.0	0.0	0.0	0
5		0		Js, 9s	8h, Kh, 2s	20	0.0	0.0	0.0	0
6		0		6h, 8d	2d, 5d, Qd, Qs, 9h	130	0.0	0.0	0.0	0
7		0		6h, 8d	2d, 5d, Qd, Qs, 9h	80	0.0	0.0	0.0	0
8		20		2h, 9s	2d, 5d, Qd	20	0.0	0.2	1.0	1
9		20		5s, 9s	Jh, Qh, Kd	20	0.5	0.2	1.0	0
10		60		2h, 9s	2d, 5d, Qd, Qs, 9h	80	0.0	0.4	0.8	1
11		60		Js, 10s	Jh, Qh, Kd	20	0.1	0.7	3.0	1
12		50		9d, Kh	Ks, Qs, 6d, 4s	300	0.1	0.2	0.2	0
13		100		6s, As	Ks, Qs, 6d, 4s	200	0.1	0.4	0.5	1
14		20		Qd, 3d	8h, Kh, 2s	20	0.4	0.2	1.0	1
15		20		2h, 9s	2d, 5d, Qd, Qs	60	0.0	0.1	0.3	1
16		0		2h, 9s	2d, 5d, Qd, Qs	40	0.0	0.0	0.0	1
17		20		6h, 8d	2d, 5d, Qd	20	0.0	0.2	1.0	0
3		30		10d, Ks	9d, 10c, 6h	20	0.0	0.3	1.5	1
26		15		Kh, 2s	9d, 10c, 6h	50	0.0	0.0	0.3	0
27		25		10d, Ks	9d, 10c, 6h, 3s	70	0.0	0.2	0.4	1
28		10		Kh, 2s	9d, 10c, 6h, 3s	90	0.1	0.0	0.1	0
29		25		10d, Ks	9d, 10c, 6h, 3s, Ad	100	0.0	0.2	0.3	1
30		0		Kh, 2s	9d, 10c, 6h, 3s, Ad	120	0.0	0.0	0.0	0
31		50		6h, Jc	Ad, 3s, 5d	30	0.9	0.9	1.7	1
32		15		Ks, Jd	Ad, 3s, 5d	80	0.2	0.1	0.2	0
33		50		Qd, 9d	Ad, 3s, 5d	95	0.2	0.3	0.5	0
34		80		6h, Jc	Ad, 3s, 5d, 4c	150	0.2	0.5	0.5	1
35		0		Ks, Jd	Ad, 3s, 5d, 4c	230	0.0	0.0	0.0	0
36		80		Qd, 9d	Ad, 3s, 5d, 4c	240	1.0	0.7	0.3	0
37		100		6h, Jc	Ad, 3s, 5d, 4c, As	320	0.2	1.0	0.3	1
38		0		Ks, Jd	Ad, 3s, 5d, 4c, As	420	0.0	0.0	0.0	0
39		0		Qd, 9d	Ad, 3s, 5d, 4c, As	420	0.0	0.0	0.0	0
40		0		2c, 4d	7d, 9c, 10s	20	0.0	0.0	0.0	0
41		40		9d, 6s	7d, 9c, 10s	20	0.1	0.3	2.0	1
45		0		7d, 5s	2c, 4c, jd	20	0.0	0.0	0.0	1
46		15		Kd, Qh	2c, 4c, jd	20	0.1	0.3	0.8	0
47		10		7d, 5s	2c, 4c, Jd, 6s	35	0.2	0.2	0.3	1
48		10		Kd, Qh	2c, 4c, Jd, 6s	45	0.0	0.0	0.2	0
49		50		7d, 5s	2c, 4c, Jd, 6s, 5h	55	0.0	0.4	0.9	1
50		0		Kd, Qh	2c, 4c, Jd, 6s, 5h	105	0.0	0.0	0.0	0
42		40		2c, 4d	7d, 9c, 10s	40	0.6	0.1	1.0	0
43		0		2c, 4d	7d, 9c, 10s, 6d	80	0.0	0.0	0.0	0
44		80		9d, 6s	7d, 9c, 10s, 6d	80	0.1	0.6	1.0	1
51		30		3s, 6h	7s, 8s, 2s	20	0.2	0.2	1.5	1
52		30		9h, 2h	7s, 8s, 2s	50	0.1	0.1	0.6	0
53		60		3s, 6h	7s, 8s, 2s, As	80	0.0	0.6	0.8	1
54		20		4c, 7s	4s, Jc, 9d	20	0.1	0.2	1.0	1
55		15		A, 5d	4s, Jc, 9d	40	0.0	0.0	0.4	0
56		10		4c, 7d	3c, 6d, 10s	20	0.1	0.1	0.5	0
57		10		8h, Kh	3c, 6d, 10s	30	0.1	0.1	0.3	1
58		10		4c, 7d	3c, 6d, 10s, 8h	40	0.0	0.0	0.3	0
59		30		8h, Kh	3c, 6d, 10s, 8h	50	0.1	0.4	0.6	1
60		5		2s, 4d	9h, 7h, Qd	20	0.3	0.2	0.3	0
61		15		10h, 4c	9h, 7h, Qd	30	0.1	0.1	0.5	1
62		0		2s, 4d	9h, 7h, Qd	30	0.0	0.0	0.0	0
63		60		10h, 4c	9h, 7h, Qd, Ah	90	0.0	0.4	0.7	1
64		20		Jh, Qd	Kc, Jc, 2c	20	0.0	0.1	1.0	1
65		40		Qh, Ac	Kc, Jc, 2c	40	0.1	0.1	1.0	0
66		40		Jh, Qd	Kc, Jc, 2c	60	0.1	0.1	0.7	1
67		20		Jh, Qd	Kc, Jc, 2c, 8s	100	0.2	0.3	0.2	1
68		20		Qh, Ac	Kc, Jc, 2c, 8s	120	0.3	0.1	0.2	0
69		15		Jh, Qd	Kc, Jc, 2c, 8s, 5h	140	0.0	0.0	0.1	1
70		10		Qh, Ac	Kc, Jc, 2c, 8s, 5h	150	0.0	0.0	0.1	0
71		20		6s, 10s	4h, 4d, 10c	20	0.0	0.2	1.0	1
72		10		2c, Jd	4h, 4d, 10c	40	0.1	0.1	0.3	0
73		20		As, Qd	Kh, 9h, 5d	20	0.4	0.3	1.0	1
74		20		Js, 5c	Kh, 9h, 5d	40	0.2	0.2	0.5	0
75		30		As, Qd	Kh, 9h, 5d, Ks	60	0.5	0.3	0.5	1
76		15		Js, 5c	Kh, 9h, 5d, Ks	90	0.0	0.0	0.2	0
77		80		Jc, 10c	Ac, Kc, Qc, 5h	200	0.0	0.4	0.4	1
78		220		Jc, 10c	Ac, Kc, Qc, 5h, 6h	360	0.0	0.8	0.6	1