Bet ID	Unnamed: 1	Bet	Unnamed: 3	Hand	Pool	Pot	Bluff	Agro	Payout (exc)	Outcome	Round	Win Probability
1		0		[(6, 'H'), (8, 'D')]	[(2, 'D'), (5, 'D'), (12, 'D')]	20	0.0	0.0	0.0	0	1	0.95
2		20		[(6, 'H'), (8, 'D')]	[(2, 'D'), (5, 'D'), (12, 'D'), (12, 'S')]	40	0.0	0.0	0.5	0	2	0.95
18		0		[(9, 'H'), (2, 'H')]	[(7, 'S'), (8, 'S'), (2, 'S'), (14, 'S')]	140	0.0	0.0	0.0	0	2	0.82
4		0		[(5, 'S'), (9, 'S')]	[(11, 'H'), (12, 'H'), (13, 'D')]	60	0.0	0.0	0.0	0	1	0.94
5		0		[(11, 'S'), (9, 'S')]	[(8, 'H'), (13, 'H'), (2, 'S')]	20	0.0	0.0	0.0	0	1	0.89
6		0		[(6, 'H'), (8, 'D')]	[(2, 'D'), (5, 'D'), (12, 'D'), (12, 'S'), (9, 'H')]	130	0.0	0.0	0.0	0	3	0.9
7		0		[(6, 'H'), (8, 'D')]	[(2, 'D'), (5, 'D'), (12, 'D'), (12, 'S'), (9, 'H')]	80	0.0	0.0	0.0	0	3	0.95
8		20		[(2, 'H'), (9, 'S')]	[(2, 'D'), (5, 'D'), (12, 'D')]	20	0.0	0.2	1.0	1	1	0.75
9		20		[(5, 'S'), (9, 'S')]	[(11, 'H'), (12, 'H'), (13, 'D')]	20	0.5	0.2	1.0	0	1	0.87
10		60		[(2, 'H'), (9, 'S')]	[(2, 'D'), (5, 'D'), (12, 'D'), (12, 'S'), (9, 'H')]	80	0.0	0.4	0.8	1	3	0.36
11		60		[(11, 'S'), (10, 'S')]	[(11, 'H'), (12, 'H'), (13, 'D')]	20	0.1	0.7	3.0	1	1	0.68
12		50		[(9, 'D'), (13, 'H')]	[(13, 'S'), (12, 'S'), (6, 'D'), (4, 'S')]	300	0.1	0.2	0.2	0	2	0.69
13		100		[(6, 'S'), (14, 'S')]	[(13, 'S'), (12, 'S'), (6, 'D'), (4, 'S')]	200	0.1	0.4	0.5	1	2	0.0
14		20		[(12, 'D'), (3, 'D')]	[(8, 'H'), (13, 'H'), (2, 'S')]	20	0.4	0.2	1.0	1	1	0.86
15		20		[(2, 'H'), (9, 'S')]	[(2, 'D'), (5, 'D'), (12, 'D'), (12, 'S')]	60	0.0	0.1	0.3	1	2	0.5
16		0		[(2, 'H'), (9, 'S')]	[(2, 'D'), (5, 'D'), (12, 'D'), (12, 'S')]	40	0.0	0.0	0.0	1	2	0.46
17		20		[(6, 'H'), (8, 'D')]	[(2, 'D'), (5, 'D'), (12, 'D')]	20	0.0	0.2	1.0	0	1	0.9
3		30		[(10, 'D'), (13, 'S')]	[(9, 'D'), (10, 'C'), (6, 'H')]	20	0.0	0.3	1.5	1	1	0.51
26		15		[(13, 'H'), (2, 'S')]	[(9, 'D'), (10, 'C'), (6, 'H')]	50	0.0	0.0	0.3	0	1	0.93
27		25		[(10, 'D'), (13, 'S')]	[(9, 'D'), (10, 'C'), (6, 'H'), (3, 'S')]	70	0.0	0.2	0.4	1	2	0.44
28		10		[(13, 'H'), (2, 'S')]	[(9, 'D'), (10, 'C'), (6, 'H'), (3, 'S')]	90	0.1	0.0	0.1	0	2	0.82
29		25		[(10, 'D'), (13, 'S')]	[(9, 'D'), (10, 'C'), (6, 'H'), (3, 'S'), (14, 'D')]	100	0.0	0.2	0.3	1	3	0.26
30		0		[(13, 'H'), (2, 'S')]	[(9, 'D'), (10, 'C'), (6, 'H'), (3, 'S'), (14, 'D')]	120	0.0	0.0	0.0	0	3	0.6
31		50		[(6, 'H'), (11, 'C')]	[(14, 'D'), (3, 'S'), (5, 'D')]	30	0.9	0.9	1.7	1	1	0.79
32		15		[(13, 'S'), (11, 'D')]	[(14, 'D'), (3, 'S'), (5, 'D')]	80	0.2	0.1	0.2	0	1	0.82
33		50		[(12, 'D'), (9, 'D')]	[(14, 'D'), (3, 'S'), (5, 'D')]	95	0.2	0.3	0.5	0	1	0.82
34		80		[(6, 'H'), (11, 'C')]	[(14, 'D'), (3, 'S'), (5, 'D'), (4, 'C')]	150	0.2	0.5	0.5	1	2	0.86
35		0		[(13, 'S'), (11, 'D')]	[(14, 'D'), (3, 'S'), (5, 'D'), (4, 'C')]	230	0.0	0.0	0.0	0	2	0.84
36		80		[(12, 'D'), (9, 'D')]	[(14, 'D'), (3, 'S'), (5, 'D'), (4, 'C')]	240	1.0	0.7	0.3	0	2	0.81
37		100		[(6, 'H'), (11, 'C')]	[(14, 'D'), (3, 'S'), (5, 'D'), (4, 'C'), (14, 'S')]	320	0.2	1.0	0.3	1	3	0.89
38		0		[(13, 'S'), (11, 'D')]	[(14, 'D'), (3, 'S'), (5, 'D'), (4, 'C'), (14, 'S')]	420	0.0	0.0	0.0	0	3	0.64
39		0		[(12, 'D'), (9, 'D')]	[(14, 'D'), (3, 'S'), (5, 'D'), (4, 'C'), (14, 'S')]	420	0.0	0.0	0.0	0	3	0.63
40		0		[(2, 'C'), (4, 'D')]	[(7, 'D'), (9, 'C'), (10, 'S')]	20	0.0	0.0	0.0	0	1	0.99
41		40		[(9, 'D'), (6, 'S')]	[(7, 'D'), (9, 'C'), (10, 'S')]	20	0.1	0.3	2.0	1	1	0.72
45		0		[(7, 'D'), (5, 'S')]	[(2, 'C'), (4, 'C'), (14, 'D')]	20	0.0	0.0	0.0	1	1	0.7
46		15		[(13, 'D'), (12, 'H')]	[(2, 'C'), (4, 'C'), (14, 'D')]	20	0.1	0.3	0.8	0	1	0.8
47		10		[(7, 'D'), (5, 'S')]	[(2, 'C'), (4, 'C'), (11, 'D'), (6, 'S')]	35	0.2	0.2	0.3	1	2	0.96
48		10		[(13, 'D'), (12, 'H')]	[(2, 'C'), (4, 'C'), (11, 'D'), (6, 'S')]	45	0.0	0.0	0.2	0	2	0.86
49		50		[(7, 'D'), (5, 'S')]	[(2, 'C'), (4, 'C'), (11, 'D'), (6, 'S'), (5, 'H')]	55	0.0	0.4	0.9	1	3	0.61
50		0		[(13, 'D'), (12, 'H')]	[(2, 'C'), (4, 'C'), (11, 'D'), (6, 'S'), (5, 'H')]	105	0.0	0.0	0.0	0	3	0.85
42		40		[(2, 'C'), (4, 'D')]	[(7, 'D'), (9, 'C'), (10, 'S')]	40	0.6	0.1	1.0	0	1	1.0
43		0		[(2, 'C'), (4, 'D')]	[(7, 'D'), (9, 'C'), (10, 'S'), (6, 'D')]	80	0.0	0.0	0.0	0	2	0.99
44		80		[(9, 'D'), (6, 'S')]	[(7, 'D'), (9, 'C'), (10, 'S'), (6, 'D')]	80	0.1	0.6	1.0	1	2	0.39
51		30		[(3, 'S'), (6, 'H')]	[(7, 'S'), (8, 'S'), (2, 'S')]	20	0.2	0.2	1.5	1	1	1.0
52		30		[(9, 'H'), (2, 'H')]	[(7, 'S'), (8, 'S'), (2, 'S')]	50	0.1	0.1	0.6	0	1	0.79
53		60		[(3, 'S'), (6, 'H')]	[(7, 'S'), (8, 'S'), (2, 'S'), (14, 'S')]	80	0.0	0.6	0.8	1	2	0.02
54		20		[(4, 'C'), (7, 'S')]	[(4, 'S'), (11, 'C'), (9, 'D')]	20	0.1	0.2	1.0	1	1	0.71
55		15		[(14, 'A'), (5, 'D')]	[(4, 'S'), (11, 'C'), (9, 'D')]	40	0.0	0.0	0.4	0	1	0.75
56		10		[(4, 'C'), (7, 'D')]	[(3, 'C'), (6, 'D'), (10, 'S')]	20	0.1	0.1	0.5	0	1	1.0
57		10		[(8, 'H'), (13, 'H')]	[(3, 'C'), (6, 'D'), (10, 'S')]	30	0.1	0.1	0.3	1	1	0.87
58		10		[(4, 'C'), (7, 'D')]	[(3, 'C'), (6, 'D'), (10, 'S'), (8, 'H')]	40	0.0	0.0	0.3	0	2	0.97
59		30		[(8, 'H'), (13, 'H')]	[(3, 'C'), (6, 'D'), (10, 'S'), (8, 'H')]	50	0.1	0.4	0.6	1	2	0.53
60		5		[(2, 'S'), (4, 'D')]	[(9, 'H'), (7, 'H'), (12, 'D')]	20	0.3	0.2	0.3	0	1	0.89
61		15		[(10, 'H'), (4, 'C')]	[(9, 'H'), (7, 'H'), (12, 'D')]	30	0.1	0.1	0.5	1	1	0.96
62		0		[(2, 'S'), (4, 'D')]	[(9, 'H'), (7, 'H'), (12, 'D')]	30	0.0	0.0	0.0	0	1	0.95
63		60		[(10, 'H'), (4, 'C')]	[(9, 'H'), (7, 'H'), (12, 'D'), (14, 'H')]	90	0.0	0.4	0.7	1	2	0.79
64		20		[(11, 'H'), (12, 'D')]	[(13, 'C'), (11, 'C'), (2, 'C')]	20	0.0	0.1	1.0	1	1	0.62
65		40		[(12, 'H'), (14, 'C')]	[(13, 'C'), (11, 'C'), (2, 'C')]	40	0.1	0.1	1.0	0	1	0.82
66		40		[(11, 'H'), (12, 'D')]	[(13, 'C'), (11, 'C'), (2, 'C')]	60	0.1	0.1	0.7	1	1	0.69
67		20		[(11, 'H'), (12, 'D')]	[(13, 'C'), (11, 'C'), (2, 'C'), (8, 'S')]	100	0.2	0.3	0.2	1	2	0.5
68		20		[(12, 'H'), (14, 'C')]	[(13, 'C'), (11, 'C'), (2, 'C'), (8, 'S')]	120	0.3	0.1	0.2	0	2	0.77
69		15		[(11, 'H'), (12, 'D')]	[(13, 'C'), (11, 'C'), (2, 'C'), (8, 'S'), (5, 'H')]	140	0.0	0.0	0.1	1	3	0.27
70		10		[(12, 'H'), (14, 'C')]	[(13, 'C'), (11, 'C'), (2, 'C'), (8, 'S'), (5, 'H')]	150	0.0	0.0	0.1	0	3	0.61
71		20		[(6, 'S'), (10, 'S')]	[(4, 'H'), (4, 'D'), (10, 'C')]	20	0.0	0.2	1.0	1	1	0.51
72		10		[(2, 'C'), (11, 'D')]	[(4, 'H'), (4, 'D'), (10, 'C')]	40	0.1	0.1	0.3	0	1	0.97
73		20		[(14, 'S'), (12, 'D')]	[(13, 'H'), (9, 'H'), (5, 'D')]	20	0.4	0.3	1.0	1	1	0.77
74		20		[(11, 'S'), (5, 'C')]	[(13, 'H'), (9, 'H'), (5, 'D')]	40	0.2	0.2	0.5	0	1	0.75
75		30		[(14, 'S'), (12, 'D')]	[(13, 'H'), (9, 'H'), (5, 'D'), (13, 'S')]	60	0.5	0.3	0.5	1	2	0.61
76		15		[(11, 'S'), (5, 'C')]	[(13, 'H'), (9, 'H'), (5, 'D'), (13, 'S')]	90	0.0	0.0	0.2	0	2	0.27
77		80		[(11, 'C'), (10, 'C')]	[(14, 'C'), (13, 'C'), (12, 'C'), (5, 'H')]	200	0.0	0.4	0.4	1	2	0.0
78		220		[(11, 'C'), (10, 'C')]	[(14, 'C'), (13, 'C'), (12, 'C'), (5, 'H'), (6, 'H')]	360	0.0	0.8	0.6	1	3	0.0
